customer_id,signup_month,tenure_months,plan_type,monthly_fee,num_profiles,watch_hours_last_month,binge_days_last_month,last_login_days_ago,auto_renew,genre_pref,has_kids_profile,device_type,num_devices_used,support_tickets_last_3mo,avg_watch_session_min,ads_watched_last_month,payment_method,is_churned
OTT1021,Jul,1,Standard,599,1,14.6,6,13,No,Horror,No,Smart TV,5,,41.9,57,Credit Card,1
OTT1022,May,22,Basic,599,2,43.6,1,4,No,Action,Yes,Smart TV,4,3,62.6,26,Net Banking,0
OTT1023,Jan,17,Basic,199,2,16.3,2,19,Yes,Documentary,No,Mobile,5,1,74.7,14,Debit Card,1
OTT1024,Mar,19,Basic,399,2,41.2,9,16,No,Drama,Yes,Mobile,4,2,72.7,29,Credit Card,0
OTT1025,Jul,2,Basic,199,5,27.9,7,8,Yes,Horror,Yes,Tablet,5,0,12.0,54,UPI,1
OTT1026,Jun,16,Premium,199,2,58.1,0,9,No,Action,Yes,Mobile,3,2,45.3,35,Net Banking,0
OTT1027,May,21,Standard,599,2,24.3,5,21,Yes,Action,No,Mobile,2,0,46.4,27,UPI,1
OTT1028,Feb,1,Premium,199,5,59.0,3,8,Yes,Sci-Fi,Yes,Smart TV,5,2,74.6,0,Credit Card,1
OTT1029,Jul,23,Premium,199,4,16.9,2,21,Yes,Documentary,No,Laptop,4,0,47.8,18,Credit Card,1
OTT1030,May,23,Premium,599,5,32.6,2,5,Yes,Drama,No,Smart TV,3,0,73.7,7,UPI,0
OTT1031,Jan,10,Standard,399,4,36.0,0,19,No,Drama,No,Tablet,5,0,92.9,47,Debit Card,1
OTT1032,May,20,Standard,599,1,40.3,0,14,Yes,Drama,No,Laptop,2,1,57.5,28,Credit Card,0
OTT1033,Mar,12,Basic,599,1,15.8,4,20,Yes,Sci-Fi,No,Smart TV,4,0,35.8,11,UPI,1
OTT1034,Jul,31,Basic,399,5,39.8,2,9,Yes,Drama,No,Laptop,5,2,17.6,19,UPI,0
OTT1035,Apr,14,Standard,399,3,41.6,7,10,No,Horror,Yes,Tablet,4,1,75.9,38,Credit Card,0
OTT1036,May,6,Basic,399,3,52.5,2,10,No,Drama,Yes,Laptop,4,1,57.5,,Debit Card,0
OTT1037,Jan,26,Premium,399,4,32.5,1,12,Yes,Sci-Fi,No,Smart TV,5,2,42.0,5,Net Banking,0
OTT1038,Mar,15,Basic,399,4,37.2,6,27,Yes,Sci-Fi,No,Mobile,5,0,,55,Debit Card,1
OTT1039,Jul,2,Premium,599,1,33.7,2,11,No,Sci-Fi,No,Tablet,2,1,80.0,52,Credit Card,1
OTT1040,Apr,1,Standard,399,1,34.5,8,5,No,Horror,No,Smart TV,5,1,69.6,46,Net Banking,1
OTT1041,Jul,23,Premium,199,3,33.6,4,16,Yes,Comedy,Yes,Laptop,2,1,32.9,59,Credit Card,0
OTT1042,May,3,Basic,399,1,29.3,8,7,Yes,Documentary,Yes,Mobile,3,0,46.5,,Credit Card,1
OTT1043,Jun,3,Standard,599,5,49.8,9,26,Yes,Sci-Fi,Yes,Laptop,1,0,5.9,36,UPI,1
OTT1044,Feb,29,Basic,199,5,32.2,7,14,No,Comedy,No,Smart TV,1,0,64.7,38,UPI,0
OTT1045,May,22,Basic,399,1,45.9,8,17,Yes,Action,Yes,Smart TV,1,2,70.2,48,Credit Card,0
OTT1046,Feb,14,Basic,199,4,49.0,7,17,Yes,Documentary,No,Smart TV,2,0,62.6,37,Debit Card,1
OTT1047,Jan,12,Premium,599,2,26.4,6,16,Yes,Horror,No,Tablet,1,0,79.1,6,UPI,1
OTT1048,Jun,16,Premium,399,5,37.2,2,18,Yes,Comedy,No,Mobile,4,0,62.4,54,UPI,0
OTT1049,Apr,32,Basic,599,5,36.0,0,7,Yes,Comedy,Yes,Smart TV,3,1,52.6,12,Debit Card,0
OTT1050,May,4,Basic,599,1,40.6,8,30,No,Horror,No,Laptop,3,0,79.3,38,UPI,1
OTT1051,Jul,6,Standard,399,3,15.5,8,18,Yes,Drama,No,Tablet,1,0,54.0,22,Debit Card,1
OTT1052,Apr,22,Standard,399,5,20.7,4,1,No,Horror,Yes,Smart TV,4,0,60.0,55,Debit Card,0
OTT1053,Jun,20,Basic,199,4,30.4,4,5,No,Documentary,No,Laptop,2,0,,0,Debit Card,0
OTT1054,Feb,8,Standard,399,3,30.1,2,23,Yes,Action,No,Mobile,2,1,73.9,41,UPI,1
OTT1055,Mar,27,Basic,199,2,24.3,8,26,Yes,Action,No,Mobile,1,0,65.4,47,Net Banking,1
OTT1056,Jun,24,Standard,599,4,19.0,4,13,Yes,Action,Yes,Laptop,3,1,66.7,17,UPI,0
OTT1057,Jan,27,Basic,599,1,17.2,3,3,Yes,Horror,No,Mobile,1,0,6.5,26,Net Banking,0
OTT1058,May,20,Standard,399,3,31.6,6,27,No,Horror,Yes,Laptop,2,1,41.0,0,UPI,1
OTT1059,Mar,10,Premium,399,5,52.7,4,21,Yes,Sci-Fi,No,Mobile,3,0,25.0,45,Net Banking,1
OTT1060,Jun,20,,599,4,56.5,6,10,No,Sci-Fi,No,Tablet,3,1,85.8,19,Credit Card,0
OTT1061,Jan,11,Premium,399,5,23.1,7,13,Yes,Sci-Fi,No,Laptop,1,1,32.0,36,Debit Card,1
OTT1062,Jul,1,Basic,399,1,54.0,5,3,Yes,Documentary,,Mobile,1,0,44.2,36,UPI,1
OTT1063,Feb,25,Premium,199,4,28.5,3,8,Yes,Comedy,No,Smart TV,3,0,98.7,5,Net Banking,0
OTT1064,Jan,12,Basic,399,1,34.5,9,9,Yes,Horror,No,Tablet,2,0,60.4,40,UPI,1
OTT1065,Apr,10,Premium,199,4,60.4,9,21,No,Drama,No,Laptop,3,0,95.4,35,Credit Card,1
OTT1066,Feb,17,Basic,399,4,33.6,0,30,No,Action,Yes,Mobile,4,0,41.6,31,Credit Card,1
OTT1067,Jun,6,Basic,599,5,22.5,2,8,Yes,Documentary,No,Tablet,3,0,10.0,51,Debit Card,1
OTT1068,Jan,14,Standard,599,5,35.5,0,29,Yes,Horror,Yes,Tablet,5,0,79.4,40,Debit Card,1
OTT1069,Apr,18,Standard,199,5,33.1,4,13,Yes,Horror,No,Tablet,5,1,62.8,50,Credit Card,0
OTT1070,Jun,35,Premium,199,4,18.5,5,4,Yes,Documentary,No,Laptop,5,1,47.4,24,Credit Card,0
OTT1071,Apr,26,Basic,199,5,36.9,1,22,No,Comedy,Yes,,4,1,36.4,31,UPI,1
OTT1072,May,7,Standard,199,4,37.5,1,,Yes,Horror,No,Tablet,4,1,,21,UPI,0
OTT1073,May,12,Standard,199,4,50.6,6,6,Yes,Comedy,No,Laptop,5,1,49.6,53,Credit Card,0
OTT1074,Jan,8,Premium,199,3,,9,6,Yes,Drama,No,Smart TV,3,0,64.0,11,UPI,1
OTT1075,Apr,13,Standard,399,5,40.4,2,19,No,Comedy,No,Smart TV,4,1,51.5,33,UPI,1
OTT1076,Mar,24,Premium,399,1,14.8,6,26,Yes,Sci-Fi,No,Tablet,5,0,47.7,24,Credit Card,1
OTT1077,Apr,31,Standard,599,2,23.6,6,21,Yes,Documentary,No,Tablet,2,1,65.3,20,Net Banking,1
OTT1078,Jul,4,Premium,599,5,31.5,1,23,Yes,Action,No,Smart TV,3,1,81.7,30,Debit Card,1
OTT1079,Feb,14,Premium,199,4,39.1,0,13,Yes,Sci-Fi,No,Mobile,3,0,75.5,37,UPI,0
OTT1080,Jan,3,Basic,199,1,48.8,0,7,No,Sci-Fi,No,Smart TV,2,1,39.0,38,Net Banking,1
OTT1081,Jan,1,Basic,199,4,31.0,1,0,Yes,Comedy,No,Laptop,3,0,23.4,26,Net Banking,1
OTT1082,May,31,Basic,399,3,48.5,5,9,Yes,Action,No,Smart TV,3,0,58.7,44,Net Banking,0
OTT1083,Jul,29,Basic,199,1,37.8,2,19,No,Sci-Fi,No,Smart TV,1,0,,0,UPI,0
OTT1084,Apr,12,Premium,599,1,41.2,1,19,Yes,Horror,Yes,Mobile,5,0,56.8,21,Net Banking,1
OTT1085,May,5,Premium,599,3,16.6,5,14,No,Drama,No,Tablet,1,0,53.1,20,Credit Card,1
OTT1086,Jun,13,Standard,199,4,42.5,7,2,Yes,Sci-Fi,No,Mobile,3,1,70.7,59,Credit Card,0
OTT1087,Apr,7,Basic,599,3,44.2,5,11,Yes,Drama,Yes,Smart TV,1,0,64.3,6,Credit Card,1
OTT1088,Jun,22,Standard,199,3,44.6,9,19,Yes,Drama,No,Tablet,5,0,63.8,0,Credit Card,0
OTT1089,Jan,11,Standard,599,2,26.8,2,16,No,Action,No,Smart TV,2,2,61.6,10,UPI,1
OTT1090,Feb,19,,199,5,30.3,0,3,Yes,Documentary,No,Tablet,1,0,49.8,26,Debit Card,0
OTT1091,Feb,9,Premium,199,3,35.6,6,3,No,Comedy,No,Smart TV,2,1,56.8,47,Debit Card,1
OTT1092,Feb,11,Basic,599,1,23.3,4,11,Yes,Comedy,No,Mobile,2,1,65.5,20,Debit Card,1
OTT1093,Jan,7,Premium,399,1,32.4,5,26,No,Horror,No,Smart TV,1,0,58.2,48,Net Banking,1
OTT1094,May,32,Standard,599,4,54.3,8,8,Yes,Horror,No,Laptop,2,1,47.1,49,Debit Card,0
OTT1095,Apr,21,Premium,199,1,39.6,2,29,Yes,Drama,Yes,Tablet,2,1,69.8,21,Debit Card,1
OTT1096,May,7,Premium,399,2,33.1,3,14,No,Documentary,No,Smart TV,4,0,63.1,20,Debit Card,1
OTT1097,Jan,29,Basic,599,3,61.7,7,8,Yes,Horror,No,Mobile,5,0,50.2,11,Debit Card,0
OTT1098,Jun,24,Basic,399,4,24.7,6,8,Yes,Horror,Yes,Mobile,1,2,43.7,55,Credit Card,0
OTT1099,May,24,Basic,199,2,51.2,8,3,Yes,Action,Yes,Tablet,2,0,44.9,24,Credit Card,0
OTT1100,Jul,27,Basic,199,5,26.3,7,8,Yes,Horror,No,Tablet,5,0,36.9,9,Credit Card,0
OTT1101,Mar,6,Standard,199,3,35.8,1,25,Yes,Drama,No,Mobile,1,0,49.0,52,Credit Card,1
OTT1102,Jul,7,Premium,199,4,46.6,7,23,Yes,Sci-Fi,Yes,Mobile,4,0,67.2,21,Debit Card,1
OTT1103,Apr,27,Premium,399,4,23.5,3,28,Yes,Action,No,Mobile,2,0,17.3,55,Debit Card,1
OTT1104,Jan,10,Basic,199,3,0.0,2,2,Yes,Drama,No,Mobile,4,0,45.3,53,Debit Card,1
OTT1105,Mar,3,Standard,,1,42.8,7,20,Yes,Documentary,Yes,Laptop,4,3,15.5,31,Net Banking,1
OTT1106,May,22,Standard,399,3,41.3,9,20,Yes,Documentary,No,Tablet,1,0,36.9,0,Debit Card,1
OTT1107,Feb,11,Standard,399,4,13.4,7,30,No,Comedy,No,Tablet,2,0,54.0,18,UPI,1
OTT1108,May,31,Standard,599,4,25.7,2,13,Yes,Horror,No,Mobile,3,0,73.3,33,Credit Card,0
OTT1109,Jan,4,Premium,199,4,49.4,7,9,Yes,Action,Yes,Smart TV,3,0,65.9,58,UPI,1
OTT1110,Jun,2,Basic,599,4,9.9,1,15,Yes,Sci-Fi,No,Laptop,1,2,6.3,16,Credit Card,1
OTT1111,Feb,21,Basic,599,3,34.2,1,16,Yes,Horror,No,Smart TV,5,2,69.7,16,Net Banking,1
OTT1112,May,24,Basic,599,4,12.1,9,13,Yes,Comedy,No,,3,3,5.0,19,UPI,1
OTT1113,Jan,3,Standard,599,1,57.5,1,5,No,Documentary,No,Smart TV,4,1,41.8,49,Net Banking,1
OTT1114,Mar,31,Standard,399,4,30.8,7,9,,Comedy,No,Tablet,2,0,36.5,1,Debit Card,0
OTT1115,Mar,10,Standard,,5,9.0,6,5,Yes,Drama,Yes,Mobile,4,0,37.2,2,Net Banking,1
OTT1116,Feb,10,Standard,599,4,47.8,8,19,Yes,Horror,Yes,Smart TV,5,0,59.9,5,Net Banking,1
OTT1117,May,11,Standard,399,2,62.0,0,4,Yes,Action,Yes,Mobile,4,1,66.8,50,Debit Card,0
OTT1118,Mar,13,Basic,199,1,62.2,9,11,No,Sci-Fi,Yes,Tablet,4,0,73.0,53,Net Banking,0
OTT1119,Jun,20,Standard,599,,11.8,3,23,Yes,Horror,No,Mobile,1,0,96.6,1,Credit Card,1
OTT1120,May,35,Standard,199,2,0.0,3,3,Yes,Drama,No,Smart TV,4,1,49.2,1,Debit Card,0
OTT1121,Mar,27,Basic,599,1,4.5,1,30,Yes,Documentary,No,Smart TV,5,1,15.3,38,Credit Card,1
OTT1122,Jan,3,Basic,199,4,34.2,1,28,Yes,Documentary,No,Mobile,1,0,23.6,43,UPI,1
OTT1123,Feb,23,Basic,599,4,43.0,9,26,Yes,Horror,No,Laptop,1,0,59.8,7,Credit Card,1
OTT1124,Feb,21,Standard,599,4,6.4,6,22,Yes,Comedy,Yes,Mobile,3,1,67.8,22,Debit Card,1
OTT1125,Jun,,Standard,399,4,52.6,9,16,Yes,Sci-Fi,No,Smart TV,3,0,67.9,7,Net Banking,0
OTT1126,Apr,21,Basic,599,1,25.1,6,14,No,Documentary,No,Mobile,3,0,19.6,17,Net Banking,0
OTT1127,Mar,8,Standard,399,3,30.3,2,2,No,,No,Laptop,2,0,39.9,40,Credit Card,0
OTT1128,Mar,,Basic,199,2,38.4,9,27,No,Documentary,No,Tablet,3,0,70.3,56,Net Banking,1
OTT1129,Apr,22,Standard,599,4,51.3,3,29,Yes,Documentary,No,Laptop,1,1,97.8,27,Credit Card,1
OTT1130,May,26,Basic,399,4,36.7,2,4,No,Action,No,Mobile,1,1,67.1,54,UPI,0
OTT1131,Feb,8,Standard,599,3,44.9,3,19,Yes,Drama,No,Tablet,3,1,34.5,10,Net Banking,1
OTT1132,Feb,31,Basic,399,1,9.4,1,20,No,Action,No,Tablet,1,0,23.2,50,Credit Card,1
OTT1133,Feb,3,,399,3,44.4,2,17,No,Sci-Fi,No,Smart TV,4,0,52.5,53,Debit Card,1
OTT1134,Jan,18,Standard,599,4,25.1,5,12,No,Documentary,No,Smart TV,2,1,39.8,36,Net Banking,1
OTT1135,Jul,12,Basic,599,4,34.8,7,14,No,Drama,No,Laptop,2,0,89.4,3,Credit Card,1
OTT1136,May,31,Standard,599,3,16.4,7,8,Yes,Drama,No,Laptop,2,0,84.4,21,Credit Card,0
OTT1137,Jun,35,Basic,399,2,22.3,2,26,Yes,Action,No,Smart TV,4,0,65.6,22,,1
OTT1138,Apr,20,Standard,599,1,3.3,,7,Yes,Documentary,No,Laptop,3,0,36.2,11,Net Banking,1
OTT1139,Feb,18,Standard,399,5,26.7,0,5,Yes,Drama,No,Laptop,1,0,58.1,8,Net Banking,0
OTT1140,Mar,29,Basic,399,3,51.2,6,20,Yes,Horror,,Mobile,1,0,47.4,15,Credit Card,0
OTT1141,Mar,18,Standard,199,1,39.3,1,12,Yes,Drama,Yes,Smart TV,2,1,45.0,16,UPI,0
OTT1142,May,10,Premium,199,3,24.6,0,6,Yes,Action,Yes,Smart TV,4,0,93.9,52,Debit Card,0
OTT1143,Jan,5,Premium,599,,36.7,6,16,Yes,Sci-Fi,No,Mobile,1,0,41.8,29,UPI,1
OTT1144,Jul,34,Basic,599,2,28.5,4,22,Yes,Horror,No,Laptop,1,2,5.2,44,Credit Card,0
OTT1145,Apr,33,Basic,599,,27.5,2,5,Yes,Documentary,No,Tablet,3,1,9.2,48,Credit Card,0
OTT1146,Jun,19,Basic,199,1,57.1,9,9,Yes,Comedy,No,Mobile,5,0,71.7,14,Net Banking,0
OTT1147,Feb,14,Standard,199,1,22.0,7,15,No,Documentary,No,Tablet,3,1,46.0,23,UPI,1
OTT1148,Jul,26,Premium,399,1,31.5,1,25,No,Action,Yes,Laptop,5,0,62.3,0,Net Banking,1
OTT1149,Apr,6,Standard,599,3,20.3,0,0,No,Documentary,No,Tablet,1,1,30.0,1,Debit Card,1
OTT1150,Jul,22,Premium,599,4,32.1,1,30,Yes,Horror,Yes,Smart TV,1,0,64.9,44,Debit Card,1
OTT1151,Jun,4,Basic,399,5,18.6,0,0,No,Documentary,No,Mobile,3,0,9.9,25,Debit Card,1
OTT1152,Apr,34,Basic,399,,36.8,7,11,Yes,Drama,Yes,Smart TV,4,0,39.0,25,Credit Card,0
OTT1153,Jun,4,Premium,199,2,32.7,5,27,Yes,Horror,Yes,Tablet,3,1,57.7,9,Net Banking,1
OTT1154,Jun,2,Basic,599,2,38.7,2,17,Yes,Sci-Fi,No,Laptop,4,1,62.7,38,Net Banking,1
OTT1155,Mar,23,Standard,399,1,47.5,8,18,Yes,Comedy,No,Smart TV,3,1,20.3,0,Net Banking,1
OTT1156,Jan,20,Premium,199,2,63.4,8,7,Yes,Horror,Yes,Tablet,5,1,88.8,31,Debit Card,1
OTT1157,Feb,27,Standard,199,1,26.3,3,22,Yes,Horror,No,Tablet,4,1,60.8,30,UPI,1
OTT1158,Mar,13,Standard,199,2,47.3,5,28,,Documentary,Yes,Tablet,5,1,53.9,51,Credit Card,1
OTT1159,Mar,35,Basic,199,3,21.0,6,1,Yes,Documentary,Yes,Mobile,2,0,42.3,40,Credit Card,0
OTT1160,Jun,19,Premium,199,1,67.4,9,,No,Comedy,No,Tablet,3,0,27.4,29,Net Banking,0
OTT1161,Mar,21,Standard,599,4,32.8,9,26,Yes,,No,Tablet,1,0,56.2,32,UPI,1
OTT1162,Mar,9,Standard,599,4,39.4,8,29,Yes,Action,No,Smart TV,1,,71.1,10,Net Banking,1
OTT1163,Apr,11,Basic,199,5,6.7,5,16,Yes,Drama,No,Smart TV,2,0,9.6,23,Credit Card,1
OTT1164,Jan,35,Standard,599,3,35.0,5,9,Yes,Documentary,No,Mobile,2,0,43.6,14,Debit Card,0
OTT1165,Apr,10,Premium,199,3,30.7,2,19,No,Action,No,Tablet,2,0,50.8,17,Debit Card,1
OTT1166,Jan,6,Standard,199,4,6.3,1,20,Yes,Comedy,No,Smart TV,1,0,79.2,40,Credit Card,1
OTT1167,Jan,21,Premium,599,1,28.0,5,18,Yes,Documentary,No,Smart TV,3,1,62.2,53,Credit Card,1
OTT1168,Jul,14,Premium,399,4,28.8,2,18,Yes,Comedy,Yes,Tablet,1,0,71.6,25,Net Banking,0
OTT1169,Jun,12,Standard,199,2,16.1,1,20,Yes,Drama,No,Tablet,4,2,55.8,32,Debit Card,1
OTT1170,Feb,34,Basic,599,3,38.3,4,27,Yes,Sci-Fi,No,Laptop,3,1,55.9,9,Net Banking,1
OTT1171,Apr,10,Basic,199,5,28.0,5,1,Yes,Drama,No,Mobile,5,0,51.3,55,Net Banking,1
OTT1172,May,10,Standard,399,5,13.1,3,30,Yes,Horror,Yes,Tablet,4,1,48.8,5,Net Banking,1
OTT1173,Jun,25,Basic,199,3,38.3,8,15,No,Horror,No,Smart TV,2,0,19.7,43,Net Banking,0
OTT1174,Jul,12,Standard,199,5,61.3,5,29,No,Sci-Fi,No,Mobile,,0,51.8,39,Net Banking,1
OTT1175,Jan,1,Standard,199,4,,6,28,Yes,Horror,Yes,Laptop,2,1,70.1,11,Net Banking,1
OTT1176,May,26,Standard,199,5,41.6,6,8,No,Horror,Yes,Laptop,4,0,42.4,37,Net Banking,0
OTT1177,Mar,13,Basic,599,2,24.4,2,21,Yes,Sci-Fi,Yes,Smart TV,1,0,40.0,24,Credit Card,1
OTT1178,Jul,19,Premium,399,1,10.2,0,24,Yes,Comedy,Yes,Mobile,2,1,80.6,1,Net Banking,1
OTT1179,Jan,31,Standard,399,5,39.2,8,2,No,Drama,Yes,Smart TV,1,0,72.1,14,Debit Card,0
OTT1180,Jan,29,Basic,599,5,31.7,5,1,Yes,Comedy,No,Tablet,1,0,66.0,18,Net Banking,0
OTT1181,Jun,27,Basic,599,2,61.5,4,30,No,Comedy,No,Mobile,4,1,24.3,10,UPI,1
OTT1182,Apr,19,Standard,399,2,33.9,5,21,,,No,Mobile,5,1,70.9,10,Debit Card,1
OTT1183,Jan,12,Standard,599,2,34.8,9,17,Yes,Comedy,No,,3,1,32.6,39,Debit Card,1
OTT1184,Jul,24,Basic,199,3,70.4,5,15,No,Documentary,Yes,Laptop,4,0,31.6,50,Credit Card,0
OTT1185,May,21,Standard,199,3,33.5,0,29,Yes,Action,No,Mobile,1,0,60.6,50,UPI,1
OTT1186,Jan,24,Standard,199,4,43.9,1,25,Yes,Sci-Fi,Yes,Mobile,3,0,53.9,4,Credit Card,1
OTT1187,Feb,22,Standard,599,2,28.0,8,27,No,Action,Yes,Laptop,5,0,55.5,5,Credit Card,1
OTT1188,Feb,31,Basic,599,4,39.9,4,27,No,Action,No,Smart TV,3,1,49.8,41,Debit Card,1
OTT1189,Apr,19,Standard,599,4,25.7,5,15,Yes,Comedy,Yes,Laptop,1,0,68.6,5,Net Banking,0
OTT1190,Feb,13,Standard,599,2,66.5,1,24,Yes,Comedy,No,Mobile,4,2,43.5,11,Net Banking,1
OTT1191,Jan,34,Basic,599,5,21.3,2,,Yes,Drama,Yes,Tablet,1,1,33.9,7,Credit Card,1
OTT1192,Jul,34,Basic,599,5,40.1,7,15,Yes,Sci-Fi,No,Mobile,5,0,36.8,20,Net Banking,0
OTT1193,Jul,,Basic,199,5,39.8,2,,No,Drama,No,Tablet,4,1,79.9,9,Net Banking,1
OTT1194,Feb,34,Standard,399,1,43.6,4,17,Yes,Sci-Fi,No,Laptop,3,1,48.6,40,Credit Card,0
OTT1195,Jun,27,Basic,399,3,10.8,9,16,Yes,Action,No,Mobile,5,1,73.0,22,Debit Card,1
OTT1196,Mar,33,Standard,599,4,45.0,5,13,Yes,Action,Yes,Laptop,5,1,46.4,50,Net Banking,0
OTT1197,Apr,4,Standard,199,4,43.2,0,8,Yes,Drama,,Smart TV,3,0,39.0,,Net Banking,1
OTT1198,Jun,28,Standard,399,1,14.2,1,9,Yes,Documentary,No,Mobile,5,2,65.5,24,UPI,0
OTT1199,Jan,7,Basic,399,2,6.8,5,20,Yes,Sci-Fi,No,Mobile,3,0,70.6,52,Credit Card,1
OTT1200,Feb,26,Standard,599,1,15.8,4,,Yes,Action,No,Mobile,1,0,42.0,32,Debit Card,1
OTT1201,Mar,,Basic,199,2,42.8,0,12,,Action,No,Laptop,4,0,75.3,5,Credit Card,0
OTT1202,Feb,21,Basic,399,5,63.3,4,6,Yes,Horror,Yes,Smart TV,2,1,60.9,36,Credit Card,0
OTT1203,Feb,17,Premium,599,4,46.1,1,30,Yes,Comedy,No,Tablet,1,0,45.4,3,Net Banking,1
OTT1204,Feb,32,Standard,599,2,37.1,5,11,No,Horror,No,Smart TV,2,0,57.2,19,Credit Card,0
OTT1205,Jan,27,Premium,199,1,25.4,6,12,Yes,Sci-Fi,No,Smart TV,2,0,39.2,29,UPI,0
OTT1206,Apr,2,Basic,399,3,34.3,4,14,Yes,Comedy,No,,5,1,,8,Net Banking,1
OTT1207,Mar,,Premium,599,2,49.8,8,30,No,Comedy,No,Mobile,2,1,86.4,21,Credit Card,1
OTT1208,Apr,28,Standard,399,4,51.8,8,18,No,Horror,No,Mobile,3,2,86.5,47,Debit Card,1
OTT1209,Jun,21,Basic,199,4,51.1,2,25,No,Drama,No,Mobile,2,2,69.6,37,Net Banking,1
OTT1210,Apr,35,Premium,199,4,31.0,0,21,Yes,Documentary,No,Smart TV,3,2,56.3,33,UPI,1
OTT1211,May,26,Basic,199,3,56.4,5,5,No,Sci-Fi,No,Tablet,3,3,51.7,38,UPI,1
OTT1212,Jul,21,Standard,199,3,27.4,1,17,No,Documentary,No,Mobile,5,0,64.7,0,Net Banking,0
OTT1213,Mar,6,Premium,199,5,38.6,4,16,Yes,Comedy,Yes,Laptop,5,0,52.3,59,Net Banking,1
OTT1214,Jan,32,Premium,199,5,52.6,9,24,Yes,Action,No,Tablet,5,0,48.2,47,UPI,1
OTT1215,Jan,2,Basic,199,3,34.7,2,,Yes,Action,No,Laptop,5,0,,0,Credit Card,1
OTT1216,Jul,12,Premium,399,5,34.3,3,6,No,Horror,No,Tablet,1,0,58.9,51,Net Banking,0
OTT1217,Jun,18,Standard,599,4,53.2,1,9,No,Horror,Yes,Smart TV,2,1,63.7,20,UPI,0
OTT1218,May,14,Premium,199,1,47.3,7,15,Yes,Horror,No,Smart TV,1,2,36.4,7,Credit Card,1
OTT1219,May,6,Standard,599,3,48.4,9,21,Yes,Action,Yes,Smart TV,5,1,63.0,21,Debit Card,1
OTT1220,May,2,Standard,599,5,49.2,9,23,Yes,Horror,No,Mobile,2,0,96.7,55,Credit Card,1
OTT1221,May,23,Standard,599,2,38.0,5,12,Yes,Comedy,No,Tablet,3,1,54.2,53,Debit Card,0
OTT1222,Jan,16,Standard,599,3,28.9,3,4,No,Action,Yes,Laptop,2,0,34.2,26,UPI,0
OTT1223,Jan,18,Premium,199,1,45.3,3,8,Yes,Documentary,No,Smart TV,3,1,58.9,7,UPI,0
OTT1224,Jul,2,Basic,599,3,14.2,6,18,No,Sci-Fi,No,Tablet,5,1,61.0,35,,1
OTT1225,Feb,2,Basic,599,5,51.5,9,2,Yes,Horror,Yes,Smart TV,1,1,64.9,59,Debit Card,1
